id,task,taskLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt
01HWDZKY9JD6TTZNEFZ6WF7H5K,Chat,2024-04-26T19:55:18.194653408Z,true,2024-04-26T19:56:49.318956869Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.194653408Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.194653408Z,Round 3 / 12,2024-04-26T19:55:18.194653408Z,true,2024-04-26T19:56:19.199242693Z,1,2024-04-26T19:55:18.355116738Z,3,2024-04-26T19:55:18.194653408Z,2,2024-04-26T19:55:18.194653408Z
01HWDZKY9KWDY32NYBVTMX5YMM,Chat,2024-04-26T19:55:18.195098606Z,true,2024-04-26T19:56:19.185675871Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.195098606Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.195098606Z,Round 2 / 12,2024-04-26T19:55:18.195098606Z,true,2024-04-26T19:55:49.047327629Z,1,2024-04-26T19:55:18.313022131Z,2,2024-04-26T19:55:18.195098606Z,1,2024-04-26T19:55:18.195098606Z
01HWDZKY9KWDY32NYBWGB1V9T4,Chat,2024-04-26T19:55:18.195700975Z,true,2024-04-26T19:58:11.988035848Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.195700975Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.195700975Z,Round 6 / 12,2024-04-26T19:55:18.195700975Z,true,2024-04-26T19:57:49.654415595Z,1,2024-04-26T19:55:18.342221959Z,6,2024-04-26T19:55:18.195700975Z,5,2024-04-26T19:55:18.195700975Z
01HWDZKY9MJP8MB1P7Z6GH5EM9,Chat,2024-04-26T19:55:18.196346725Z,true,2024-04-26T19:58:42.129438933Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.196346725Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.196346725Z,Round 7 / 12,2024-04-26T19:55:18.196346725Z,true,2024-04-26T19:58:12.00275405Z,1,2024-04-26T19:55:18.355116738Z,7,2024-04-26T19:55:18.196346725Z,6,2024-04-26T19:55:18.196346725Z
01HWDZKY9MJP8MB1P7ZMQJ3VJ0,Chat,2024-04-26T19:55:18.196799789Z,true,2024-04-26T19:58:56.617026577Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.196799789Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.196799789Z,Round 8 / 12,2024-04-26T19:55:18.196799789Z,true,2024-04-26T19:58:42.144188082Z,1,2024-04-26T19:55:18.523814895Z,8,2024-04-26T19:55:18.196799789Z,7,2024-04-26T19:55:18.196799789Z
01HWDZKY9PW5T2YNA2NGDGW04E,Chat,2024-04-26T19:55:18.198792988Z,true,2024-04-26T20:00:18.654965908Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.198792988Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.198792988Z,Round 12 / 12,2024-04-26T19:55:18.198792988Z,true,2024-04-26T20:00:06.894400232Z,1,2024-04-26T19:55:18.521859999Z,12,2024-04-26T19:55:18.198792988Z,11,2024-04-26T19:55:18.198792988Z
01HWDZKY9VVKPVK2PQGVFZ3T8A,Chat,2024-04-26T19:55:18.203287044Z,true,2024-04-26T20:00:06.879661085Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.203287044Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.203287044Z,Round 11 / 12,2024-04-26T19:55:18.203287044Z,true,2024-04-26T19:59:36.759549262Z,1,2024-04-26T19:55:18.396501051Z,11,2024-04-26T19:55:18.203287044Z,10,2024-04-26T19:55:18.203287044Z
01HWDZKY9XE5N98GSF2KPRNQG8,Chat,2024-04-26T19:55:18.205596616Z,true,2024-04-26T19:59:14.439583799Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.205596616Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.205596616Z,Round 9 / 12,2024-04-26T19:55:18.205596616Z,true,2024-04-26T19:58:56.639354165Z,1,2024-04-26T19:55:18.520834444Z,9,2024-04-26T19:55:18.205596616Z,8,2024-04-26T19:55:18.205596616Z
01HWDZKY9YP0XBEEQZKFE779FP,Chat,2024-04-26T19:55:18.206691343Z,true,2024-04-26T19:57:19.439602202Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.206691343Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.206691343Z,Round 4 / 12,2024-04-26T19:55:18.206691343Z,true,2024-04-26T19:56:49.335447939Z,1,2024-04-26T19:55:18.396501051Z,4,2024-04-26T19:55:18.206691343Z,3,2024-04-26T19:55:18.206691343Z
01HWDZKY9ZZR6MV3P04HX5WJEA,Chat,2024-04-26T19:55:18.208943125Z,true,2024-04-26T19:59:36.743678235Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.208943125Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.208943125Z,Round 10 / 12,2024-04-26T19:55:18.208943125Z,true,2024-04-26T19:59:14.463517951Z,1,2024-04-26T19:55:18.522817424Z,10,2024-04-26T19:55:18.208943125Z,9,2024-04-26T19:55:18.208943125Z
01HWDZKYA1QSWY1YAYN99MHAT6,Chat,2024-04-26T19:55:18.211768811Z,true,2024-04-26T19:57:49.635007183Z,01HWDZ9H89PXSVDZ2Z0E7MX51J,2024-04-26T19:55:18.211768811Z,01HWDZ9H7KE19NGFVX9P5YHM2B,2024-04-26T19:55:18.211768811Z,Round 5 / 12,2024-04-26T19:55:18.211768811Z,true,2024-04-26T19:57:19.459975578Z,1,2024-04-26T19:55:18.396501051Z,5,2024-04-26T19:55:18.211768811Z,4,2024-04-26T19:55:18.211768811Z
01HWDZPC32YRA57HB164NFV3VW,Chat,2024-04-26T19:56:37.859003994Z,true,2024-04-26T19:57:08.531681157Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.859003994Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.859003994Z,Round 1 / 12,2024-04-26T19:56:37.859003994Z,true,2024-04-26T19:56:38.181806892Z,1,2024-04-26T19:56:37.966236398Z,1,2024-04-26T19:56:37.859003994Z,0,2024-04-26T19:56:37.859003994Z
01HWDZPC34ZZ3Y4NGY7ZW181GJ,Chat,2024-04-26T19:56:37.860731702Z,true,2024-04-26T19:57:31.470062107Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.860731702Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.860731702Z,Round 2 / 12,2024-04-26T19:56:37.860731702Z,true,2024-04-26T19:57:08.542789695Z,1,2024-04-26T19:56:38.016045071Z,2,2024-04-26T19:56:37.860731702Z,1,2024-04-26T19:56:37.860731702Z
01HWDZPC35ETF1BGSTXY13DQAH,Chat,2024-04-26T19:56:37.861268476Z,true,2024-04-26T19:58:38.732378342Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.861268476Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.861268476Z,Round 5 / 12,2024-04-26T19:56:37.861268476Z,true,2024-04-26T19:58:19.189835645Z,1,2024-04-26T19:56:38.024914697Z,5,2024-04-26T19:56:37.861268476Z,4,2024-04-26T19:56:37.861268476Z
01HWDZPC35ETF1BGSTYH1PEQZM,Chat,2024-04-26T19:56:37.861988029Z,true,2024-04-26T19:59:26.699478739Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.861988029Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.861988029Z,Round 7 / 12,2024-04-26T19:56:37.861988029Z,true,2024-04-26T19:59:07.237797068Z,1,2024-04-26T19:56:37.952527196Z,7,2024-04-26T19:56:37.861988029Z,6,2024-04-26T19:56:37.861988029Z
01HWDZPC367MBHKD8PQXDHSD8B,Chat,2024-04-26T19:56:37.862709706Z,true,2024-04-26T20:00:10.654587567Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.862709706Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.862709706Z,Round 9 / 12,2024-04-26T19:56:37.862709706Z,true,2024-04-26T19:59:50.509118997Z,1,2024-04-26T19:56:37.966236398Z,9,2024-04-26T19:56:37.862709706Z,8,2024-04-26T19:56:37.862709706Z
01HWDZPC38EE0JTT4PE30NCS1K,Chat,2024-04-26T19:56:37.864071004Z,true,2024-04-26T19:58:19.172239853Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.864071004Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.864071004Z,Round 4 / 12,2024-04-26T19:56:37.864071004Z,true,2024-04-26T19:57:54.413057543Z,1,2024-04-26T19:56:38.016045071Z,4,2024-04-26T19:56:37.864071004Z,3,2024-04-26T19:56:37.864071004Z
01HWDZPC391K75NS9RFZ83VADG,Chat,2024-04-26T19:56:37.866036665Z,true,2024-04-26T19:59:50.486267122Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.866036665Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.866036665Z,Round 8 / 12,2024-04-26T19:56:37.866036665Z,true,2024-04-26T19:59:26.717632762Z,1,2024-04-26T19:56:38.061999047Z,8,2024-04-26T19:56:37.866036665Z,7,2024-04-26T19:56:37.866036665Z
01HWDZPC3B62WBHEM9XY075FX6,Chat,2024-04-26T19:56:37.868165147Z,true,2024-04-26T19:59:07.219374932Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.868165147Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.868165147Z,Round 6 / 12,2024-04-26T19:56:37.868165147Z,true,2024-04-26T19:58:38.75640348Z,1,2024-04-26T19:56:38.081839851Z,6,2024-04-26T19:56:37.868165147Z,5,2024-04-26T19:56:37.868165147Z
01HWDZPC3D7P55K078EZ4W8PRN,Chat,2024-04-26T19:56:37.869104128Z,true,2024-04-26T20:00:56.887567478Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.869104128Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.869104128Z,Round 11 / 12,2024-04-26T19:56:37.869104128Z,true,2024-04-26T20:00:30.601222139Z,1,2024-04-26T19:56:38.061999047Z,11,2024-04-26T19:56:37.869104128Z,10,2024-04-26T19:56:37.869104128Z
01HWDZPC3D7P55K078FK26AP3S,Chat,2024-04-26T19:56:37.86973893Z,true,2024-04-26T19:57:54.399620013Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.86973893Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.86973893Z,Round 3 / 12,2024-04-26T19:56:37.86973893Z,true,2024-04-26T19:57:31.482699321Z,1,2024-04-26T19:56:37.948616834Z,3,2024-04-26T19:56:37.86973893Z,2,2024-04-26T19:56:37.86973893Z
01HWDZPC3EP08XAP0NTSM15XSM,Chat,2024-04-26T19:56:37.870757383Z,true,2024-04-26T20:01:16.697603205Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.870757383Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.870757383Z,Round 12 / 12,2024-04-26T19:56:37.870757383Z,true,2024-04-26T20:00:56.907011338Z,1,2024-04-26T19:56:38.081839851Z,12,2024-04-26T19:56:37.870757383Z,11,2024-04-26T19:56:37.870757383Z
01HWDZPC3GZWEPXPYMDNVB86TA,Chat,2024-04-26T19:56:37.872423854Z,true,2024-04-26T20:00:30.581397802Z,01HWDZBVZCFRSJZ6GN21W52JD7,2024-04-26T19:56:37.872423854Z,01HWDZBVZ099EF56E7PA1463T5,2024-04-26T19:56:37.872423854Z,Round 10 / 12,2024-04-26T19:56:37.872423854Z,true,2024-04-26T20:00:10.670498509Z,1,2024-04-26T19:56:38.065169037Z,10,2024-04-26T19:56:37.872423854Z,9,2024-04-26T19:56:37.872423854Z
01HWE05T7HQ6EQ3J9Y4DWXQGDD,Chat,2024-04-26T20:05:03.857277992Z,true,2024-04-26T20:06:04.668060985Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.857277992Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.857277992Z,Round 1 / 12,2024-04-26T20:05:03.857277992Z,true,2024-04-26T20:05:03.978221607Z,2,2024-04-26T20:05:03.946052398Z,1,2024-04-26T20:05:03.857277992Z,0,2024-04-26T20:05:03.857277992Z
01HWE05T7Y6WQXM4Z7K819QMFF,Chat,2024-04-26T20:05:03.870411026Z,true,2024-04-26T20:07:50.635241566Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.870411026Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.870411026Z,Round 3 / 12,2024-04-26T20:05:03.870411026Z,true,2024-04-26T20:07:04.906259276Z,2,2024-04-26T20:05:03.981323121Z,3,2024-04-26T20:05:03.870411026Z,2,2024-04-26T20:05:03.870411026Z
01HWE05T7ZNQAK1QA21YCJ322S,Chat,2024-04-26T20:05:03.871072588Z,true,2024-04-26T20:13:53.517742723Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.871072588Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.871072588Z,Round 10 / 12,2024-04-26T20:05:03.871072588Z,true,2024-04-26T20:13:03.42419357Z,2,2024-04-26T20:05:04.037328015Z,10,2024-04-26T20:05:03.871072588Z,9,2024-04-26T20:05:03.871072588Z
01HWE05T80FWM503BF1T1WNWPZ,Chat,2024-04-26T20:05:03.872041607Z,true,2024-04-26T20:14:40.005866382Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.872041607Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.872041607Z,Round 11 / 12,2024-04-26T20:05:03.872041607Z,true,2024-04-26T20:13:53.543987952Z,2,2024-04-26T20:05:04.160912777Z,11,2024-04-26T20:05:03.872041607Z,10,2024-04-26T20:05:03.872041607Z
01HWE05T80FWM503BF2FQSXA7H,Chat,2024-04-26T20:05:03.872982521Z,true,2024-04-26T20:08:32.995523602Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.872982521Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.872982521Z,Round 4 / 12,2024-04-26T20:05:03.872982521Z,true,2024-04-26T20:07:50.657311308Z,2,2024-04-26T20:05:04.037328015Z,4,2024-04-26T20:05:03.872982521Z,3,2024-04-26T20:05:03.872982521Z
01HWE05T81GECDDW5D0HVN6Y78,Chat,2024-04-26T20:05:03.873619856Z,true,2024-04-26T20:09:25.269459387Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.873619856Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.873619856Z,Round 5 / 12,2024-04-26T20:05:03.873619856Z,true,2024-04-26T20:08:33.009167087Z,2,2024-04-26T20:05:03.959022723Z,5,2024-04-26T20:05:03.873619856Z,4,2024-04-26T20:05:03.873619856Z
01HWE05T82RDXTXY4CBMHYATEA,Chat,2024-04-26T20:05:03.874668225Z,true,2024-04-26T20:11:11.360260991Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.874668225Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.874668225Z,Round 7 / 12,2024-04-26T20:05:03.874668225Z,true,2024-04-26T20:10:25.569141549Z,2,2024-04-26T20:05:04.037328015Z,7,2024-04-26T20:05:03.874668225Z,6,2024-04-26T20:05:03.874668225Z
01HWE05T83M9XQ2ZS0927B4X12,Chat,2024-04-26T20:05:03.875777441Z,true,2024-04-26T20:12:03.111228068Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.875777441Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.875777441Z,Round 8 / 12,2024-04-26T20:05:03.875777441Z,true,2024-04-26T20:11:11.376721575Z,2,2024-04-26T20:05:04.166658975Z,8,2024-04-26T20:05:03.875777441Z,7,2024-04-26T20:05:03.875777441Z
01HWE05T8593QJZN4H58GGQBGN,Chat,2024-04-26T20:05:03.877848039Z,true,2024-04-26T20:13:03.391628854Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.877848039Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.877848039Z,Round 9 / 12,2024-04-26T20:05:03.877848039Z,true,2024-04-26T20:12:03.135671774Z,2,2024-04-26T20:05:04.167013762Z,9,2024-04-26T20:05:03.877848039Z,8,2024-04-26T20:05:03.877848039Z
01HWE05T874TX57WYXFQEQN8G8,Chat,2024-04-26T20:05:03.879830079Z,true,2024-04-26T20:07:04.882227409Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.879830079Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.879830079Z,Round 2 / 12,2024-04-26T20:05:03.879830079Z,true,2024-04-26T20:06:04.683615688Z,2,2024-04-26T20:05:04.167013762Z,2,2024-04-26T20:05:03.879830079Z,1,2024-04-26T20:05:03.879830079Z
01HWE05T8AE8S4MTYX2X025TGD,Chat,2024-04-26T20:05:03.882469542Z,true,2024-04-26T20:10:25.555554092Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.882469542Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.882469542Z,Round 6 / 12,2024-04-26T20:05:03.882469542Z,true,2024-04-26T20:09:25.291574956Z,2,2024-04-26T20:05:03.959022723Z,6,2024-04-26T20:05:03.882469542Z,5,2024-04-26T20:05:03.882469542Z
01HWE05T8CS3R62GXEY664M6C3,Chat,2024-04-26T20:05:03.886398646Z,true,2024-04-26T20:15:40.35819221Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.886398646Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.886398646Z,Round 12 / 12,2024-04-26T20:05:03.886398646Z,true,2024-04-26T20:14:40.030411107Z,2,2024-04-26T20:05:03.986475798Z,12,2024-04-26T20:05:03.886398646Z,11,2024-04-26T20:05:03.886398646Z
01HWE092EJN0S74CCJYWM6QD2F,Chat,2024-04-26T20:06:50.578417615Z,true,2024-04-26T20:07:51.800133797Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.578417615Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.578417615Z,Round 1 / 12,2024-04-26T20:06:50.578417615Z,true,2024-04-26T20:06:51.335638279Z,2,2024-04-26T20:06:50.987793614Z,1,2024-04-26T20:06:50.578417615Z,0,2024-04-26T20:06:50.578417615Z
01HWE092ERCYQZTRHJQBPAQX76,Chat,2024-04-26T20:06:50.584515383Z,true,2024-04-26T20:16:04.327657064Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.584515383Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.584515383Z,Round 11 / 12,2024-04-26T20:06:50.584515383Z,true,2024-04-26T20:15:22.721730877Z,2,2024-04-26T20:06:50.972570356Z,11,2024-04-26T20:06:50.584515383Z,10,2024-04-26T20:06:50.584515383Z
01HWE092ES57F183WBH9M8A1RE,Chat,2024-04-26T20:06:50.585775125Z,true,2024-04-26T20:09:38.963485017Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.585775125Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.585775125Z,Round 3 / 12,2024-04-26T20:06:50.585775125Z,true,2024-04-26T20:08:44.937576438Z,2,2024-04-26T20:06:50.98611885Z,3,2024-04-26T20:06:50.585775125Z,2,2024-04-26T20:06:50.585775125Z
01HWE092EVWC108R7TXXQXCRSS,Chat,2024-04-26T20:06:50.587967365Z,true,2024-04-26T20:15:22.69869051Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.587967365Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.587967365Z,Round 10 / 12,2024-04-26T20:06:50.587967365Z,true,2024-04-26T20:14:33.93635341Z,2,2024-04-26T20:06:50.77357953Z,10,2024-04-26T20:06:50.587967365Z,9,2024-04-26T20:06:50.587967365Z
01HWE092EXFR2JEAMTN66SV35B,Chat,2024-04-26T20:06:50.589752701Z,true,2024-04-26T20:14:33.911726649Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.589752701Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.589752701Z,Round 9 / 12,2024-04-26T20:06:50.589752701Z,true,2024-04-26T20:13:49.091632762Z,2,2024-04-26T20:06:51.008673169Z,9,2024-04-26T20:06:50.589752701Z,8,2024-04-26T20:06:50.589752701Z
01HWE092EZPABE2435J796JRW2,Chat,2024-04-26T20:06:50.591811908Z,true,2024-04-26T20:13:49.056603446Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.591811908Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.591811908Z,Round 8 / 12,2024-04-26T20:06:50.591811908Z,true,2024-04-26T20:13:00.211594666Z,2,2024-04-26T20:06:50.987793614Z,8,2024-04-26T20:06:50.591811908Z,7,2024-04-26T20:06:50.591811908Z
01HWE092F1NB00HHCRJB6D6AP3,Chat,2024-04-26T20:06:50.59391088Z,true,2024-04-26T20:13:00.176638388Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.59391088Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.59391088Z,Round 7 / 12,2024-04-26T20:06:50.59391088Z,true,2024-04-26T20:12:07.887489062Z,2,2024-04-26T20:06:50.997810636Z,7,2024-04-26T20:06:50.59391088Z,6,2024-04-26T20:06:50.59391088Z
01HWE092F389NMMKMEN2ZZ46V5,Chat,2024-04-26T20:06:50.595363439Z,true,2024-04-26T20:12:07.867470987Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.595363439Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.595363439Z,Round 6 / 12,2024-04-26T20:06:50.595363439Z,true,2024-04-26T20:11:14.367324922Z,2,2024-04-26T20:06:51.001185151Z,6,2024-04-26T20:06:50.595363439Z,5,2024-04-26T20:06:50.595363439Z
01HWE092F44WHF17T5PTJ37S5E,Chat,2024-04-26T20:06:50.59670085Z,true,2024-04-26T20:11:14.340584858Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.59670085Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.59670085Z,Round 5 / 12,2024-04-26T20:06:50.59670085Z,true,2024-04-26T20:10:29.532613374Z,2,2024-04-26T20:06:51.001185151Z,5,2024-04-26T20:06:50.59670085Z,4,2024-04-26T20:06:50.59670085Z
01HWE092FBRHW2MBZ7HF4GNDFQ,Chat,2024-04-26T20:06:50.60309895Z,true,2024-04-26T20:10:29.517856067Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.60309895Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.60309895Z,Round 4 / 12,2024-04-26T20:06:50.60309895Z,true,2024-04-26T20:09:38.987850977Z,2,2024-04-26T20:06:50.77357953Z,4,2024-04-26T20:06:50.60309895Z,3,2024-04-26T20:06:50.60309895Z
01HWE092FKT96NZ39FAZ95X4TP,Chat,2024-04-26T20:06:50.61306783Z,true,2024-04-26T20:08:44.917195857Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.61306783Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.61306783Z,Round 2 / 12,2024-04-26T20:06:50.61306783Z,true,2024-04-26T20:07:51.813222275Z,2,2024-04-26T20:06:50.77357953Z,2,2024-04-26T20:06:50.61306783Z,1,2024-04-26T20:06:50.61306783Z
01HWE092FRT5TCB5W48MTF3246,Chat,2024-04-26T20:06:50.61694333Z,true,2024-04-26T20:16:47.556292014Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.61694333Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.61694333Z,Round 12 / 12,2024-04-26T20:06:50.61694333Z,true,2024-04-26T20:16:04.351642531Z,2,2024-04-26T20:06:51.061102016Z,12,2024-04-26T20:06:50.61694333Z,11,2024-04-26T20:06:50.61694333Z
01HWE0BNXGPQ9DX6WVT8ST973P,Chat,2024-04-26T20:08:16.048969952Z,true,2024-04-26T20:09:16.194476049Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.048969952Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.048969952Z,Round 1 / 12,2024-04-26T20:08:16.048969952Z,true,2024-04-26T20:08:16.545438169Z,2,2024-04-26T20:08:16.340377549Z,1,2024-04-26T20:08:16.048969952Z,0,2024-04-26T20:08:16.048969952Z
01HWE0BNXJED3JZRYRGYATEHW6,Chat,2024-04-26T20:08:16.050793009Z,true,2024-04-26T20:11:06.231693191Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.050793009Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.050793009Z,Round 3 / 12,2024-04-26T20:08:16.050793009Z,true,2024-04-26T20:10:14.758433111Z,2,2024-04-26T20:08:16.298339301Z,3,2024-04-26T20:08:16.050793009Z,2,2024-04-26T20:08:16.050793009Z
01HWE0BNXKAHQCNVRWY2KYEGBS,Chat,2024-04-26T20:08:16.051925118Z,true,2024-04-26T20:10:14.743613776Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.051925118Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.051925118Z,Round 2 / 12,2024-04-26T20:08:16.051925118Z,true,2024-04-26T20:09:16.218637559Z,2,2024-04-26T20:08:16.186890961Z,2,2024-04-26T20:08:16.051925118Z,1,2024-04-26T20:08:16.051925118Z
01HWE0BNXN48YZ5W6TNPDVKQ8Y,Chat,2024-04-26T20:08:16.053433274Z,true,2024-04-26T20:12:48.527800913Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.053433274Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.053433274Z,Round 5 / 12,2024-04-26T20:08:16.053433274Z,true,2024-04-26T20:11:56.705910096Z,2,2024-04-26T20:08:16.290034054Z,5,2024-04-26T20:08:16.053433274Z,4,2024-04-26T20:08:16.053433274Z
